community,crime
DOUGLAS,0.5848324798101453
OAKLAND,0.9154748959770268
FULLER PARK,9.584964235702643
GRAND BOULEVARD,1.4806021239343545
KENWOOD,-0.6912317381022661
LINCOLN SQUARE,-2.5221980207008756
WASHINGTON PARK,4.618640200951032
HYDE PARK,-1.4241655329391791
WOODLAWN,1.6046526909619154
ROGERS PARK,-1.5313088144968559
JEFFERSON PARK,-2.546962218340613
FOREST GLEN,-3.0966711156938014
NORTH PARK,-1.9848430091232478
ALBANY PARK,-1.8275111673663924
PORTAGE PARK,-1.9404983618228653
IRVING PARK,-1.243467175757644
DUNNING,-2.5802372963933156
MONTCLARE,-1.868564399365127
BELMONT CRAGIN,-1.3853721383323576
WEST RIDGE,-2.4204743402994535
HERMOSA,-1.167375943250911
AVONDALE,-1.0124559664244726
LOGAN SQUARE,-0.9947398320723293
HUMBOLDT PARK,1.351222816234035
WEST TOWN,-0.5370638231904635
AUSTIN,2.3479680437989376
WEST GARFIELD PARK,4.544158139552252
EAST GARFIELD PARK,4.653493411684808
NORTH LAWNDALE,3.979073961426
UPTOWN,-1.2418737446912989
SOUTH LAWNDALE,-0.9636581760438854
LOWER WEST SIDE,-0.6556972481940739
ARMOUR SQUARE,-0.7629433384127898
NORWOOD PARK,-3.0105768691017447
SOUTH SHORE,2.863482741106059
CHATHAM,3.2864774854113685
AVALON PARK,2.233556687949397
SOUTH CHICAGO,2.5473967892467315
BURNSIDE,3.6833544272338776
MCKINLEY PARK,-1.1486428913998366
LAKE VIEW,-1.5123199530854023
CALUMET HEIGHTS,0.6080507274432218
ROSELAND,2.1357836267320103
NORTH CENTER,-2.1230009302137343
PULLMAN,1.0588307187682853
SOUTH DEERING,0.6767737620751424
EAST SIDE,-1.938025405792413
WEST PULLMAN,1.6236341930473976
RIVERDALE,2.059397383876971
HEGEWISCH,-2.49254273075252
GARFIELD RIDGE,-1.994761513070979
ARCHER HEIGHTS,-0.9423533145676325
BRIGHTON PARK,-1.3108809624900883
BRIDGEPORT,-1.2616238254691807
NEW CITY,0.5111376894032996
WEST ELSDON,-1.0151795959068386
GAGE PARK,-1.306363358356214
CLEARING,-2.300653307183757
WEST LAWN,-1.3558017044477761
CHICAGO LAWN,0.3567721012169466
WEST ENGLEWOOD,3.6890822826081413
ENGLEWOOD,5.341955316320076
GREATER GRAND CROSSING,4.27655210962483
LINCOLN PARK,-1.7557732632948158
ASHBURN,-1.550948016220488
AUBURN GRESHAM,2.8574704892593408
BEVERLY,-2.4495495959769076
WASHINGTON HEIGHTS,0.7287819292002892
MOUNT GREENWOOD,-2.8471990239717786
MORGAN PARK,-1.4911258090769035
OHARE,-2.329861594587704
EDGEWATER,-2.344634362115061
EDISON PARK,-3.322442032460531
LOOP,0
NEAR NORTH SIDE,0
NEAR SOUTH SIDE,0
NEAR WEST SIDE,0
