community,schools
LOWER WEST SIDE,-0.06133066013375908
PULLMAN,-0.7636635937124542
MONTCLARE,0.049927191382434954
GARFIELD RIDGE,1.3039551330648482
ARCHER HEIGHTS,0.8059146563326823
WOODLAWN,-0.7171097041147868
ROGERS PARK,-0.1546255666852108
WASHINGTON HEIGHTS,-0.6207888807998608
OAKLAND,-1.0019385944783206
GRAND BOULEVARD,-1.0019385944783206
ARMOUR SQUARE,-1.0057227516136535
RIVERDALE,-0.924250617507655
SOUTH DEERING,0.002017820585111647
EDGEWATER,1.2431846634171089
ALBANY PARK,0.014715917854666472
EAST GARFIELD PARK,-0.8898902076514745
NORTH LAWNDALE,-0.31013441983046985
CALUMET HEIGHTS,-0.8905602655845009
HERMOSA,-0.24677543354210885
ROSELAND,-0.6407769764886643
NORWOOD PARK,1.7913974191441357
BRIGHTON PARK,0.32154250677445895
MORGAN PARK,0.7698727475021614
BRIDGEPORT,-1.0274026573721837
KENWOOD,2.0077295933150943
NORTH CENTER,0.8480907303599241
NEAR SOUTH SIDE,-1.0019385944783206
BELMONT CRAGIN,-0.18371110921757505
WASHINGTON PARK,-1.0019385944783206
WEST ENGLEWOOD,-1.1222293379791686
AUBURN GRESHAM,-0.8069643910315847
HEGEWISCH,0.057412195933157766
ASHBURN,-0.535686227011928
CLEARING,1.1393095323719074
EAST SIDE,0.24288187902906497
CHICAGO LAWN,-0.44927448931018493
WEST PULLMAN,-0.9409243266176904
DOUGLAS,-1.0019385944783208
BURNSIDE,-0.3203019947615143
AVONDALE,-0.16584866783829116
WEST RIDGE,0.26346798789667647
AUSTIN,-0.7094076498867269
HYDE PARK,1.6365687717684634
FOREST GLEN,1.7913974191441357
UPTOWN,1.1346900507656308
NORTH PARK,0.7341188177321283
NEAR NORTH SIDE,1.1140044528828517
SOUTH CHICAGO,-0.9283201104218779
GAGE PARK,0.21584867615672332
DUNNING,0.02781794960056523
LAKE VIEW,1.5134274559324974
ENGLEWOOD,-0.9838660720084065
WEST ELSDON,0.8059146563326823
WEST TOWN,-0.7442684721823921
JEFFERSON PARK,1.7913974191441357
WEST LAWN,0.010090817126691718
LOGAN SQUARE,-0.6101893979100265
NEW CITY,-1.0178287502778953
SOUTH SHORE,-1.019667603229187
IRVING PARK,-0.26685541642915395
BEVERLY,0.7698727475021614
GREATER GRAND CROSSING,-0.9810748837852328
CHATHAM,-0.5675108440485087
NEAR WEST SIDE,-0.7300035720716991
HUMBOLDT PARK,-0.7826024608867345
MOUNT GREENWOOD,0.7698727475021614
LINCOLN PARK,3.910827872848765
LOOP,-0.9290629874101509
PORTAGE PARK,0.374174226395534
MCKINLEY PARK,0.2543125064745803
SOUTH LAWNDALE,0.050629749437166895
WEST GARFIELD PARK,-0.9020825201618765
LINCOLN SQUARE,0.4268173465329607
AVALON PARK,-1.0581969975483603
OHARE,1.041943973487629
FULLER PARK,-1.0079420614204784
EDISON PARK,1.7913974191441357
